Burst1,Burst50,Burst100,Burst150,Burst200,Burst1000,Burst10000,Burst100000,Burst1000000
0.55423,0.60801,0.62291,0.61392,0.61483,0.5992,0.6102,0.6314,0.6012
0.5001,0.6222,0.61573,0.61503,0.62038,0.6122,0.649,0.5903,0.6273
0.45629,0.61312,0.60961,0.61031,0.60771,0.6162,0.6172,0.6032,0.6294
0.41465,0.61332,0.62028,0.61947,0.6221,0.6335,0.5972,0.6263,0.6273
0.36769,0.61091,0.62647,0.61826,0.60731,0.6162,0.6052,0.6355,0.6243
0.32772,0.61694,0.62058,0.60861,0.62444,0.6042,0.6376,0.6294,0.6304
0.29386,0.62912,0.61543,0.60841,0.61342,0.6345,0.6212,0.6032,0.6397
0.27016,0.61453,0.61453,0.6221,0.61221,0.6479,0.6092,0.6062,0.5943
0.24642,0.61826,0.60761,0.62302,0.61091,0.6082,0.6092,0.5992,0.6253
0.21922,0.61031,0.61011,0.61543,0.61433,0.5923,0.6062,0.6273,0.6212
0.2004,0.61181,0.61181,0.61171,0.62322,0.6042,0.6172,0.6032,0.6273
0.1784,0.62576,0.61573,0.60741,0.61624,0.5864,0.6284,0.6386,0.5903
0.16139,0.60691,0.60851,0.62008,0.60951,0.5972,0.5923,0.6102,0.6355
0.14085,0.61041,0.61573,0.61553,0.62099,0.6212,0.6152,0.6243,0.6042
0.1311,0.60949,0.60461,0.61826,0.61473,0.6092,0.5952,0.5972,0.6072
0.12236,0.61622,0.60731,0.60961,0.61171,0.6233,0.6223,0.6284,0.6243
0.10649,0.60486,0.62994,0.61011,0.61282,0.6345,0.6212,0.6294,0.6202
0.09639,0.60877,0.61242,0.60123,0.61392,0.6132,0.6243,0.6243,0.6212
0.0848,0.60851,0.60203,0.61493,0.61001,0.6142,0.6062,0.6022,0.6376
0.07809,0.62019,0.60981,0.60971,0.61604,0.6202,0.6102,0.6032,0.6243
0.06924,0.61295,0.62373,0.61483,0.61553,0.6294,0.6092,0.6314,0.6253
0.05948,0.61178,0.61471,0.61342,0.61232,0.5796,0.5864,0.6335,0.6605
0.05507,0.61631,0.62568,0.60921,0.61332,0.6142,0.6325,0.6072,0.6223
0.05245,0.59732,0.61529,0.61886,0.61654,0.6469,0.6253,0.6062,0.6002
0.04612,0.60717,0.61493,0.61692,0.61262,0.5992,0.6152,0.6092,0.6002
0.04248,0.59916,0.61662,0.61833,0.60811,0.6102,0.6284,0.6122,0.6152
0.03451,0.57868,0.62272,0.60583,0.61372,0.6325,0.6202,0.6223,0.6072
0.03597,0.58047,0.6041,0.59968,0.62322,0.6417,0.6233,0.6304,0.6563
0.03246,0.56189,0.60631,0.61703,0.61495,0.6223,0.5893,0.5962,0.6172
0.02448,0.55778,0.61012,0.61251,0.61655,0.5805,0.5943,0.6092,0.6284
0.02563,0.52336,0.59975,0.60758,0.60892,0.6243,0.5992,0.6584,0.6022
0.02221,0.52,0.60451,0.61415,0.61218,0.6042,0.5982,0.6102,0.5982
0.02118,0.49432,0.59004,0.60827,0.60463,0.6253,0.6202,0.6122,0.6122
0.01943,0.47459,0.58948,0.60581,0.62589,0.6192,0.6102,0.6132,0.5796
0.01716,0.45666,0.57058,0.6106,0.61287,0.5982,0.6102,0.6192,0.6202
0.01314,0.43449,0.55363,0.59637,0.61451,0.6172,0.5962,0.6355,0.6345
0.01336,0.40519,0.54207,0.59024,0.60408,0.6052,0.6152,0.6192,0.6212
0.01285,0.38886,0.52828,0.58023,0.59377,0.6092,0.6459,0.6253,0.6202
0.01069,0.3684,0.51327,0.56649,0.59819,0.6253,0.5893,0.6366,0.6233
0.00916,0.33882,0.49038,0.55105,0.58718,0.5854,0.6112,0.6102,0.6233
0.00939,0.31288,0.46557,0.55387,0.57677,0.6092,0.5864,0.6172,0.6355
0.00819,0.29719,0.45131,0.53383,0.5717,0.6162,0.6002,0.6233,0.6102
0.00638,0.2712,0.42596,0.50278,0.55793,0.6092,0.6314,0.6223,0.6192
0.00671,0.24728,0.39851,0.49026,0.52681,0.6294,0.5962,0.6223,0.6355
0.00565,0.23398,0.37304,0.46401,0.51888,0.6052,0.6376,0.6132,0.6511
0.00576,0.20839,0.35175,0.44626,0.50914,0.6201,0.6223,0.5943,0.6192
0.00443,0.19954,0.32805,0.42002,0.47718,0.6027,0.6202,0.6082,0.5992
0.00439,0.1775,0.30663,0.40343,0.4626,0.5987,0.6397,0.5903,0.6152
0.0039,0.16849,0.2905,0.37134,0.4288,0.6191,0.6092,0.6479,0.6052
0.00357,0.15019,0.26425,0.35717,0.41179,0.6275,0.6263,0.6325,0.6042
0.00309,0.13862,0.24873,0.3322,0.39321,0.5878,0.6082,0.6345,0.5962
0.00339,0.12815,0.22946,0.30917,0.36378,0.6025,0.6192,0.6233,0.5962
0.00293,0.11749,0.20662,0.27941,0.34245,0.6059,0.6132,0.6284,0.6042
0.00225,0.10543,0.19027,0.25814,0.32328,0.5925,0.5943,0.6304,0.5893
0.00198,0.09569,0.17268,0.24256,0.29559,0.5458,0.5864,0.6376,0.6325
0.00144,0.08625,0.16153,0.22509,0.27752,0.5914,0.6122,0.6072,0.5854
0.00133,0.0794,0.14566,0.20122,0.25125,0.5743,0.5982,0.6243,0.5913
0.00111,0.07054,0.13257,0.18928,0.23854,0.5415,0.6386,0.6202,0.6243
0.00142,0.06659,0.12297,0.18267,0.21886,0.5289,0.6042,0.6022,0.6142
0.00093,0.05782,0.11264,0.16299,0.19995,0.5152,0.6233,0.5893,0.5844
0.0007,0.05246,0.1061,0.14631,0.18532,0.496,0.6142,0.6042,0.6355
0.00104,0.04901,0.09255,0.13319,0.17157,0.5055,0.6294,0.6386,0.6428
0.00102,0.04444,0.08439,0.12194,0.15916,0.4512,0.6273,0.5972,0.6376
0.00078,0.03957,0.07492,0.10871,0.1434,0.4594,0.6052,0.6202,0.6052
0.00067,0.03565,0.06851,0.10366,0.13411,0.4209,0.6111,0.6122,0.6202
0.00049,0.03164,0.06014,0.09255,0.11943,0.4089,0.5864,0.6469,0.6092
0.00056,0.02891,0.05457,0.07912,0.10922,0.3766,0.6233,0.6202,0.6062
0.00026,0.02648,0.04925,0.07633,0.09904,0.3584,0.6132,0.6397,0.5952
0.00036,0.02253,0.04623,0.06772,0.08878,0.3037,0.5996,0.6122,0.6202
0.00075,0.01911,0.04053,0.06237,0.08033,0.3161,0.5792,0.6162,0.5815
0.00074,0.01964,0.04028,0.05424,0.07241,0.2882,0.5897,0.6253,0.6294
0.00012,0.01844,0.03639,0.05086,0.06593,0.2727,0.6118,0.5884,0.5982
0.00056,0.01561,0.03152,0.04595,0.05976,0.2592,0.6075,0.5992,0.6112
0.00015,0.01453,0.02607,0.04059,0.05655,0.2133,0.6163,0.6233,0.5913
0.0003,0.01229,0.02509,0.03871,0.05028,0.2055,0.6181,0.6563,0.6172
0.00038,0.01105,0.02311,0.03465,0.04652,0.1942,0.6319,0.6122,0.6012
0.00017,0.00983,0.01951,0.03102,0.04069,0.1829,0.61,0.6233,0.6233
0.00011,0.00851,0.01739,0.02725,0.03597,0.1694,0.6063,0.5835,0.5874
0,0.0081,0.01622,0.02415,0.03276,0.1415,0.5841,0.6092,0.6263
0.0001,0.00755,0.01584,0.02365,0.03057,0.143,0.5547,0.5952,0.5992
,,,,,0.1206,0.5703,0.5805,0.6072
,,,,,0.1224,0.5241,0.6263,0.6082
,,,,,0.101,0.5105,0.6243,0.6553
,,,,,0.0923,0.4859,0.6314,0.6273
,,,,,0.0803,0.4789,0.6366,0.6162
,,,,,0.0758,0.4593,0.6637,0.6152
,,,,,0.0748,0.4233,0.6122,0.6172
,,,,,0.0641,0.4269,0.6335,0.6386
,,,,,0.0654,0.4076,0.6202,0.6142
,,,,,0.0497,0.3414,0.6324,0.6263
,,,,,0.0407,0.3312,0.6232,0.6022
,,,,,0.0413,0.3008,0.6018,0.5982
,,,,,0.0405,0.2921,0.5908,0.6212
,,,,,0.0365,0.2746,0.6343,0.6243
,,,,,0.03,0.2229,0.6379,0.6304
,,,,,0.0313,0.2491,0.6397,0.6012
,,,,,0.0243,0.2133,0.6131,0.6022
,,,,,0.0193,0.1854,0.5943,0.6243
,,,,,0.0182,0.188,0.5969,0.6243
,,,,,0.0196,0.1608,0.6001,0.6112
,,,,,0.0136,0.1507,0.5915,0.6042
,,,,,0.0182,0.1397,0.5922,0.6072
,,,,,0.0179,0.1256,0.5701,0.6273
,,,,,0.0156,0.1156,0.5328,0.6314
,,,,,0.0122,0.1047,0.5251,0.6072
,,,,,0.0106,0.0843,0.5015,0.6082
,,,,,0.0105,0.0927,0.48,0.6042
,,,,,0.0072,0.0719,0.474,0.6647
,,,,,0.0085,0.082,0.4362,0.6294
,,,,,0.0076,0.0672,0.4036,0.6192
,,,,,0.0076,0.0581,0.4077,0.6345
,,,,,0.0057,0.0526,0.3702,0.5803
,,,,,0.0088,0.0537,0.3375,0.5969
,,,,,0.0049,0.0514,0.3163,0.6074
,,,,,0.0028,0.0377,0.317,0.615
,,,,,0.0062,0.0367,0.2523,0.6372
,,,,,0.0031,0.0312,0.2662,0.6095
,,,,,0.0013,0.0342,0.2347,0.5831
,,,,,0.0024,0.03,0.2101,0.6306
,,,,,0.003,0.024,0.1804,0.6216
,,,,,0.0037,0.0294,0.182,0.6077
,,,,,0.0032,0.0141,0.1678,0.5838
,,,,,0.0019,0.0165,0.1448,0.5634
,,,,,0.0025,0.0155,0.135,0.5451
,,,,,0.0021,0.013,0.1357,0.5674
,,,,,0.0003,0.01,0.1123,0.5244
,,,,,0.001,0.0126,0.1112,0.5148
,,,,,0,0.0116,0.0865,0.5116
,,,,,0.0021,0.0061,0.0748,0.4628
,,,,,0.0003,0.0091,0.0791,0.4577
,,,,,0.0013,0.0082,0.0599,0.4317
,,,,,0.0013,0.0101,0.061,0.4145
,,,,,0.0009,0.0065,0.0514,0.3905
,,,,,0.0004,0.0067,0.059,0.3426
,,,,,0.0008,0.007,0.0584,0.3512
,,,,,0.0005,0.0049,0.0549,0.3243
,,,,,0.0004,0.0031,0.0341,0.2888
,,,,,0.0003,0.0042,0.0276,0.2731
,,,,,0.001,0.003,0.0292,0.2617
,,,,,0.0004,0.0033,0.0309,0.2531
,,,,,0.0002,0.0036,0.0261,0.2027
,,,,,0.0003,0.0037,0.0248,0.2027
,,,,,0.0001,0.0014,0.0211,0.1899
,,,,,0.0002,0.0004,0.0206,0.1831
,,,,,0.0005,0.0026,0.0178,0.1682
,,,,,0.0002,0.0006,0.0189,0.1488
,,,,,0.0004,0.0007,0.0148,0.1342
,,,,,0.0002,0.0008,0.014,0.1144
,,,,,0.0001,0.0018,0.0122,0.1083
,,,,,0.0003,0.0007,0.0083,0.104