A,B,Total,Percentage,Weight
1,2,627774,5%,1
1,5,219992,2%,4
1,6,541244,5%,1
10,15,63346,1%,1
11,12,48745,0%,1
11,21,48745,0%,2
12,13,707475,6%,1
12,17,54806,0%,1
13,14,776537,7%,1
13,18,502096,4%,1
14,15,509988,4%,1
14,19,298988,3%,1
15,20,532672,4%,1
16,18,90697,1%,2
16,21,90697,1%,1
17,18,69513,1%,1
17,22,39985,0%,1
18,19,365896,3%,1
18,23,12116,0%,1
19,20,266949,2%,1
19,24,301967,3%,1
2,5,43170,0%,3
2,7,610186,5%,1
20,25,780293,7%,1
21,22,48101,0%,1
21,24,254825,2%,3
22,23,12116,0%,1
24,25,716883,6%,1
3,13,381464,3%,2
3,4,195645,2%,1
3,8,206391,2%,1
4,24,195645,2%,4
5,10,238828,2%,1
6,21,316806,3%,3
6,7,244476,2%,1
7,12,687986,6%,1
7,9,179688,2%,2
8,9,206391,2%,1
9,10,205824,2%,1
9,14,168383,1%,1