Burst1,Burst5,Burst10,Burst15,Burst20
0.29286,0.30519,0.30519,0.30555,0.30966
0.28302,0.3026,0.30328,0.30493,0.30222
0.25946,0.30216,0.30544,0.31028,0.30596
0.24011,0.30533,0.30806,0.30671,0.30341
0.22861,0.30752,0.30664,0.3044,0.3065
0.20855,0.30628,0.3039,0.30186,0.30581
0.19796,0.30595,0.30764,0.30532,0.30393
0.18292,0.30401,0.30629,0.30469,0.30685
0.17669,0.30566,0.30572,0.30657,0.30181
0.15959,0.30329,0.30745,0.30425,0.30687
0.15048,0.29679,0.3079,0.30755,0.30721
0.1413,0.30114,0.30517,0.30841,0.30618
0.12725,0.30591,0.30555,0.30422,0.30957
0.11948,0.30518,0.30609,0.30575,0.30948
0.11108,0.3041,0.3007,0.29974,0.29813
0.10621,0.30066,0.30134,0.30618,0.30523
0.09906,0.29673,0.31045,0.30691,0.30889
0.08958,0.29138,0.30352,0.31027,0.30678
0.09073,0.29449,0.30093,0.30009,0.30516
0.0796,0.28488,0.30998,0.30696,0.30769
0.07545,0.2931,0.30666,0.30886,0.303
0.06752,0.28477,0.3049,0.30996,0.30635
0.06339,0.27445,0.30501,0.30071,0.30964
0.06083,0.2755,0.30475,0.30007,0.30587
0.05699,0.27305,0.29951,0.30584,0.30704
0.05223,0.26434,0.30284,0.31044,0.30644
0.04867,0.25717,0.30112,0.30926,0.30336
0.04759,0.26085,0.29674,0.30931,0.30062
0.04311,0.24233,0.29898,0.30416,0.30604
0.04084,0.24589,0.29176,0.30744,0.30694
0.03862,0.24369,0.29528,0.30734,0.30487
0.03425,0.23083,0.29762,0.30244,0.30378
0.03249,0.22444,0.28769,0.3056,0.30278
0.02992,0.22231,0.28385,0.30456,0.30401
0.02729,0.21582,0.28731,0.30608,0.30158
0.02771,0.20469,0.28381,0.29661,0.306
0.02454,0.19641,0.27909,0.29501,0.31122
0.0221,0.19411,0.28987,0.3001,0.30748
0.02295,0.18663,0.2804,0.29848,0.29847
0.02059,0.18184,0.27472,0.30209,0.30298
0.01888,0.17887,0.27177,0.28705,0.29945
0.01747,0.17432,0.26725,0.29307,0.30009
0.01527,0.16314,0.25874,0.29427,0.30343
0.01551,0.16126,0.25951,0.29558,0.30244
0.0157,0.15002,0.25446,0.29188,0.30063
0.01382,0.14627,0.24944,0.28653,0.29691
0.01369,0.13925,0.24561,0.2827,0.29846
0.0117,0.13607,0.23982,0.28283,0.29722
0.01099,0.12799,0.23243,0.27854,0.29333
0.00967,0.1204,0.2242,0.28131,0.29042
0.0084,0.11581,0.2248,0.26996,0.29178
0.00846,0.11078,0.21717,0.26837,0.29315
0.00722,0.10655,0.20832,0.26789,0.29167
0.00693,0.102,0.20665,0.26046,0.2889
0.00695,0.09715,0.19664,0.25844,0.28054
0.00636,0.09374,0.19143,0.25327,0.27779
0.00674,0.08415,0.18547,0.2493,0.28003
0.00542,0.08344,0.18117,0.23979,0.27205
0.00523,0.07787,0.17965,0.23917,0.26967
0.00474,0.07223,0.17098,0.2378,0.26672
0.00519,0.07089,0.16062,0.22398,0.25931
0.00503,0.06962,0.15803,0.21896,0.26175
0.00378,0.06599,0.15313,0.21289,0.25321
0.00377,0.0615,0.14351,0.21174,0.24549
0.00343,0.05529,0.14143,0.21077,0.24279
0.00296,0.05106,0.13619,0.20247,0.24049
0.00319,0.04887,0.1301,0.19577,0.23893
0.00237,0.04896,0.12676,0.1929,0.23366
0.00261,0.04197,0.11653,0.17884,0.22477
0.0024,0.04466,0.11309,0.17502,0.21964
0.00235,0.04169,0.10825,0.17138,0.21042
0.00194,0.03882,0.10537,0.16389,0.20405
0.00175,0.03706,0.09918,0.16174,0.20669
0.00225,0.0347,0.09775,0.15467,0.19986
0.00227,0.03493,0.09185,0.14848,0.1903
0.00162,0.03291,0.08676,0.14049,0.18355
0.00193,0.02859,0.08356,0.1364,0.18142
0.00184,0.02752,0.0802,0.13171,0.17134
0.00109,0.026,0.07141,0.1283,0.1714
0.00106,0.02387,0.07206,0.12094,0.16294
0.00097,0.02436,0.06734,0.1158,0.16013
0.00115,0.02099,0.06464,0.1098,0.14972
0.00057,0.02003,0.06063,0.10683,0.14803
0.00098,0.01768,0.05976,0.1014,0.14369
0.00083,0.01761,0.05519,0.0963,0.13707
0.00064,0.0161,0.05296,0.09334,0.13109
0.001,0.01546,0.05034,0.09115,0.12366
0.00083,0.01612,0.04725,0.08266,0.123
0.00073,0.01378,0.04765,0.08062,0.11595
0.00085,0.01454,0.04107,0.07822,0.11062
0.00052,0.01313,0.03933,0.0718,0.11113
0.00064,0.01152,0.04009,0.06895,0.10224
0.0005,0.01162,0.03427,0.06544,0.09707
0.00048,0.01046,0.0354,0.06162,0.09229
0.00048,0.00973,0.03193,0.05837,0.08744
0.00052,0.00865,0.02942,0.05869,0.08691
0.0004,0.00838,0.02969,0.0508,0.08364
0.00039,0.00712,0.02592,0.04998,0.07566
0.00035,0.00668,0.0271,0.04903,0.07459
0.00036,0.00652,0.02401,0.04693,0.07428
0.00026,0.00732,0.02224,0.04219,0.06758
0.00044,0.00576,0.01932,0.03958,0.06605
0.00034,0.00574,0.01986,0.03645,0.06151
6e-05,0.0052,0.01986,0.03857,0.05687
0.00026,0.00458,0.01776,0.03515,0.05453
0.00019,0.00422,0.01644,0.03271,0.0513
0.00019,0.00489,0.01469,0.03237,0.04884
0.00023,0.00436,0.01445,0.03043,0.04716
0.00022,0.00426,0.01487,0.0268,0.04576
0.00028,0.0032,0.01254,0.02642,0.04045
7e-05,0.00322,0.01185,0.0253,0.03867
6e-05,0.00325,0.013,0.02491,0.03763
0.00017,0.00223,0.00936,0.0227,0.03518
0.00016,0.00258,0.0099,0.02161,0.03267
0.00017,0.00246,0.00937,0.01884,0.03212
6e-05,0.0027,0.00941,0.01907,0.03188
0.00019,0.00182,0.00862,0.01688,0.02805
0.0001,0.00183,0.00767,0.01635,0.02536
3e-05,0.00195,0.00704,0.01626,0.02327
0.00012,0.00182,0.00644,0.01451,0.02148
9e-05,0.00172,0.0068,0.01467,0.02253
8e-05,0.00111,0.00642,0.01227,0.02109
6e-05,0.0016,0.00556,0.01119,0.01782
8e-05,0.00118,0.00469,0.0122,0.01978
0.00014,0.00154,0.00462,0.00977,0.01797
